1,"Commerces","01 informatique",,"01 44 25 30 01",
2,"Commerces","1001 Pneus SARL","0892 49 49 00","05 53 36 89 45",
3,"Commerces","1001pneus.fr","0892 49 49 00","05 53 36 89 45",
4,"Commerces","11 Rénovations",,"04 68 72 67 14",
5,"Telecoms",118000,"0000 11 80 00","01 56 60 36 63",
6,"Telecoms",118218,,"01 70 36 01 18",
7,"Telecoms",118222,"0000 11 82 22","01 70 36 01 18",
8,"Commerces","123 Pizza",,"04 68 33 96 46",
9,"Commerces","13 Habitat",,"04 91 42 38 20",
10,"Commerces","1euro.com","0825 01 33 01","03 28 09 24 42",
11,"Commerces","2 Ai",,"04 68 65 42 50",
12,"Commerces","3 Dimensions",,"04 68 65 08 33",
13,,3200,"0000 00 32 00","01 41 86 21 83",
14,,3620,,"01 40 88 42 51",
15,"Commerces","3A FRANCE",,"04 91 60 65 80",
16,"Commerces","5th Avenue",,"04 68 65 55 39",
17,"Commerces","8 A Huit",,"04 68 78 11 57",
18,"Commerces","8eme Art",,"04 68 47 98 98",
19,,"A.D.T. France Provider","0825 00 02 04","03 88 18 69 20",
20,,"A.P.R.R (Autoroutes Paris-Rhin-Rhône - APPR)","0825 39 67 40","04 74 07 42 83",
21,,"A.P.R.R (Autoroutes Paris-Rhin-Rhône - APPR)",,"03 80 77 67 00",
22,,"A2C",,"01 49 68 15 61",
23,"Voyages","ABcroisiere.com","0892 23 27 27","01 73 10 00 09",
24,"Voyages","ABcroisiere.com","0826 10 61 06","04 89 05 90 18",
25,,"Abelio / Altea",,"01 49 42 22 22",
26,"Commerces","Abercrombie & Fitch","0800 90 43 22","01 53 76 86 26",
27,,"ABR","0825 35 60 00","02 33 80 35 35",
28,,"Abrisud","0000 00 32 40","05 62 07 51 55",
29,"Voyages","Accor",,"01 46 62 44 40",
30,"Voyages","Accor","0892 68 89 00","01 55 69 78 64",
31,"Voyages","Accor Hotels","0825 01 20 11","01 46 62 44 40",
32,"Voyages","Accor Hôtels","0825 01 20 11","01 46 62 24 40",
33,"Voyages","Accord","0825 28 29 30","01 41 58 70 00",
34,,"Accord Immobilier",,"04 68 11 96 96",
35,"Commerces","Acer",,"01 48 17 45 25",
36,"Commerces","Achat VIP",,"01 73 77 13 58",
37,,"ACM IARD S.A.","0810 14 00 14","01 53 21 51 70",
38,,"Acoris","0008 10 00 10","03 29 45 59 59",
39,,"Actebis","0008 25 74 75","05 61 17 94 99",
40,"Voyages","Action Visas","0892 70 77 10","01 45 88 56 70",
41,,"Actis Isolations","0008 00 04 04","04 68 31 31 31",
42,"Assurances","Active Assurance","0820 20 22 03","01 46 08 51 00",
43,,"Activeille Cofintex","0008 20 42 04","01 49 41 46 06",
44,"Commerces","Ad Distribution",,"04 68 79 12 51",
45,"Commerces","Ada Location",,"04 68 27 61 00",
46,"Commerces","Ada Location",,"04 68 11 71 92",
47,"Commerces","Ada Location",,"01 41 27 49 40",
48,"Commerces","adameteve.fr - Adam Et Eve SASU","0892 69 60 60","03 28 33 54 28",
49,"Emploi","Adecco","0821 20 22 01","04 68 10 24 60",
50,,"ADEM",,"08 00 31 03 11",
51,,"ADIL 92","0820 16 92 92","01 46 03 04 98",
52,,"ADL Partner","0825 82 62 70","01 72 74 05 24",
53,,"ADL Partner","0892 23 48 70","01 41 58 70 00",
54,,"Adrexo",,"04 78 35 35 39",
55,,"Adrexo",,"02 38 73 15 00",
56,,"Adrexo",,"05 56 49 01 53",
57,,"ADT France Provider","0825 00 02 04","03 88 18 69 20",
58,,"Advisen",,"02 47 34 30 69",
59,"Voyages","Aer Lingus","0821 23 02 67","01 43 98 80 00",
60,"Voyages","Aéroport Bordeaux",,"05 56 34 50 50",
61,"Voyages","Aéroport de Lille","0891 67 32 10","03 20 49 68 68",
62,"Voyages","Aéroport de Nice-Côte d'Azur","0820 42 33 33","04 93 21 42 53",
63,"Voyages","Aéroport de Paris Orly","0000 00 39 50","01 70 36 39 50",
64,"Voyages","Aéroport Lyon Bron","0826 80 08 26","04 26 00 70 07",
65,"Voyages","Aéroport Lyon Saint-Exupery",,"04 26 00 70 07",
66,"Voyages","Aéroport Lyon Saint-Exupery",,"04 72 22 72 21",
67,"Voyages","Aéroport Nantes",,"02 40 84 80 00",
68,"Voyages","Aéroport Toulon/hyères","0825 01 83 87","04 94 00 83 83",
69,"Administrations","Affaire Étrangères","0826 08 06 04","01 43 17 53 53",
70,"Administrations","Affaires Maritimes",,"04 68 49 01 37",
71,,"Afibel","0008 92 70 70","03 20 05 34 34",
72,"Formation","AFPA","0825 11 11 11","01 64 68 80 46",
73,"Formation","AFPA","0825 11 11 11","05 49 77 16 20",
74,"Assurances","AG2R La Mondiale",,"09 70 80 88 08",
75,"Assurances","AG2R Mutuelle Santé",,"09 69 32 20 00",
76,"Assurances","AG2R Santé","0825 05 20 00","08 00 25 25 02",
77,,"Agefiph","0811 37 38 39","01 46 11 00 11",
78,,"AGEFOS PME",,"04 68 41 63 10",
79,,"Agence Diane du Saillant",,"01 42 81 38 21",
80,"Administrations","Agence Nationale des Titres Sécurisés","0810 90 10 41","03 24 36 69 10",
81,"Assurances","AGF",,"01 41 86 21 67",
82,"Assurances","AGF",,"05 61 26 60 88",
